date,history,method,probability,predicted_return,seed_n,anchor,row_index,weekday,entry,exit,entry_date,exit_date,auxiliary_completed,joint_completed,actual_return,actual_up,holding_calendar_days,year,predicted_up,status
2026-09-11,rolling5_annual20,learned_market,0.641773222616543,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_timeweight2y,learned_market,0.5904869232907347,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_intercept,learned_market,0.6570283767309327,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_slopes,learned_market,0.5744960528010036,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,rolling5_annual20,learned_vol_interaction,0.6326972953927382,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_timeweight2y,learned_vol_interaction,0.5776698401512407,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_intercept,learned_vol_interaction,0.6479939821210218,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_slopes,learned_vol_interaction,0.561687806117623,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,rolling5_annual20,learned_order_extension,0.6707255295836263,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_timeweight2y,learned_order_extension,0.6296435123231393,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_intercept,learned_order_extension,0.6845290677085805,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_slopes,learned_order_extension,0.6153507023168756,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,rolling5_annual20,learned_order_offset,0.6700646585213826,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_timeweight2y,learned_order_offset,0.6337431819858489,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_intercept,learned_order_offset,0.6842522394225221,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,annual_head_weighted_slopes,learned_order_offset,0.6192020406842479,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,control,native_mse,,0.010465577064439098,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,weekly_state_validated,learned_market,0.641773222616543,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,weekly_state_validated,learned_vol_interaction,0.6326972953927382,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,weekly_state_validated,learned_order_extension,0.6707255295836263,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,weekly_state_validated,learned_order_offset,0.6700646585213826,,3.0,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,control,training_frequency,0.4792703150912106,,,2444,,,,,,,,,,,,2026,0,pending_retrospective
2026-09-11,control,always_up,1.0,,,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,control,market4,0.5583905381302297,,,2444,,,,,,,,,,,,2026,1,pending_retrospective
2026-09-11,control,training_mean_return,,0.004568070244133673,,2444,,,,,,,,,,,,2026,1,pending_retrospective
