history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,last_batch_n,minimum_repetitions,maximum_repetitions,order_sha256,joint_loss,return_loss,auxiliary_loss,clipped_fraction
rolling5,2020-12-31,20260910,1,1212,2408,19,104,1,2,9d004c61a2950497917ae267845a1d5222a865b8f4da87f474189056b5ad0712,1.1180822041343612,1.005012694783385,1.1306951269754937,0.05263157894736842
rolling5,2020-12-31,20260910,2,1212,2408,19,104,1,2,6737fcc6ec35ee43b69ef23cebea55acb8f3e77071f874ba2ff5682cf4a0f01c,1.1076851112898005,1.0026443602634822,1.0504074839262472,0.05263157894736842
rolling5,2020-12-31,20260910,3,1212,2408,19,104,1,2,883cd76d7db9d9259e5e49fb2a31e2f446378065f410652896b4bf93c373891f,1.1085269550152395,1.0047471610414624,1.037797940331836,0.05263157894736842
rolling5,2020-12-31,20260910,4,1212,2408,19,104,1,2,5272a6e95ce4cd20e0fcfe2bf31d198b59ade30e80698ec21be91932d4507f88,1.1013242913242987,0.9996970860268982,1.016272056142357,0.0
rolling5,2020-12-31,20260910,5,1212,2408,19,104,1,2,7b35700759cee2ec72df43add41cdf08b04a1bcf86c251be6e15e136a0b082f1,1.1065404213148098,1.004829788128799,1.0171064324553227,0.0
rolling5,2020-12-31,20260910,6,1212,2408,19,104,1,2,bc2724c9af12cb9d108913ad675736d878316ad7f469069068171ee91f029567,1.0996373230436711,0.9986857797616344,1.0095153532154932,0.0
rolling5,2020-12-31,20260910,7,1212,2408,19,104,1,2,158e17d884ddb0e1d37297913b0528871f80efd91313eb0993cbe292c353c1d2,1.09529799302155,0.99457753338291,1.0072046965855697,0.10526315789473684
rolling5,2020-12-31,20260910,8,1212,2408,19,104,1,2,553d68ca5e609933d01a51f4f051f2c7802dc2fdf01e8aae79ea07bc39f49c6c,1.1014381278788925,1.0005003364379224,1.0093780078761205,0.0
rolling5,2020-12-31,20260910,9,1212,2408,19,104,1,2,6f6898823c1e071c2bda746f5c5d103c1106905b429e5e6a27adf524cd382ed6,1.1005044098312275,0.9995455304253537,1.0095886918793484,0.05263157894736842
rolling5,2020-12-31,20260910,10,1212,2408,19,104,1,2,04cbcaf592ffa5f5583029318def79407eb61f08c5f53a71b5e7210fa8ee9735,1.0931934276688535,0.9920311425611427,1.0116228716714042,0.05263157894736842
rolling5,2020-12-31,20260910,11,1212,2408,19,104,1,2,a09a74a9e77c4e5ade2d3b7866ec5538cb4b294dd728cd8659c99ccc38529ff7,1.0875354644864104,0.9861961904158227,1.0133927553595103,0.0
