job,method,cutoff,seed,date,row_index,representation_logit,market_logit,intercept,logit
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-01-09,1087,0.5947737628174731,-0.3720162221504646,-0.03848036005544251,0.1842771806115659
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-01-16,1092,0.5938889005911491,-0.5258516592941317,-0.03848036005544251,0.029556881241574795
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-01-23,1097,0.5947196435021415,0.007284687982708649,-0.03848036005544251,0.5635239714294076
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-01-30,1102,0.5243962514462926,-0.14260668341336152,-0.03848036005544251,0.34330920797748854
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-02-06,1107,0.2855815942997969,-0.03648383478672096,-0.03848036005544251,0.21061739945763347
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-02-13,1112,0.31532391248994585,-0.030747853114116486,-0.03848036005544251,0.24609569932038683
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-02-27,1117,0.4820560429554417,-0.47979553483892134,-0.03848036005544251,-0.036219851938922104
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-03-06,1122,0.5502894445719178,-0.1989175143578817,-0.03848036005544251,0.31289157015859365
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-03-13,1127,0.4483288582892703,-0.16592729856151645,-0.03848036005544251,0.24392119967231143
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-09-25,1131,-0.634696289193802,0.53158219066502,-0.03848036005544251,-0.1415944585842246
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-10-09,1136,-0.8592975990163914,0.3383644720623008,-0.03848036005544251,-0.5594134870095332
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-10-16,1141,-0.7948803081923507,1.2145710714121387,-0.03848036005544251,0.3812104031643456
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-10-23,1146,-0.7072913993272354,0.8594731041035155,-0.03848036005544251,0.11370134472083765
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-10-30,1151,-0.6927017321836895,0.46015339567011815,-0.03848036005544251,-0.27102869656901385
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-11-06,1156,-0.44551178032341415,0.9530930634943555,-0.03848036005544251,0.4691009231154988
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-11-13,1161,0.07273803435233925,0.4332928859061802,-0.03848036005544251,0.4675505602030769
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-11-20,1166,0.04008668593938385,0.22823015045940112,-0.03848036005544251,0.22983647634334237
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-11-27,1171,0.268584286405034,0.463953624987259,-0.03848036005544251,0.6940575513368503
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-12-04,1176,0.08202258337821806,-0.19041486478729777,-0.03848036005544251,-0.14687264146452222
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-12-11,1181,0.2517200508452274,-0.15813109435887432,-0.03848036005544251,0.055108596430910595
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-12-18,1186,0.1985426849773262,0.04926503083071199,-0.03848036005544251,0.20932735575259578
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,2015-12-25,1191,0.0011136767585256894,-0.5937497315284028,-0.03848036005544251,-0.6311164148253197
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-01-09,1087,0.8091118606799848,-0.20028074556499698,-0.03183097174736521,0.5770001433676225
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-01-16,1092,0.6989205922234772,-0.32572358342698476,-0.03183097174736521,0.3413660370491272
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-01-23,1097,0.5128931305968975,0.16919334063861197,-0.03183097174736521,0.6502554994881443
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-01-30,1102,0.4102245177813492,0.05580137047055267,-0.03183097174736521,0.4341949165045367
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-02-06,1107,0.14136312319261274,0.12631830487885415,-0.03183097174736521,0.23585045632410168
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-02-13,1112,-0.5697920448184396,0.18925461054538067,-0.03183097174736521,-0.4123684060204241
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-02-27,1117,-0.2530558203100556,-0.28487295699911397,-0.03183097174736521,-0.5697597490565348
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-03-06,1122,0.9006248625636651,-0.07559427528508608,-0.03183097174736521,0.793199615531214
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-03-13,1127,0.4092066062108747,-0.08940236441640764,-0.03183097174736521,0.2879732700471018
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-09-25,1131,-1.0609620619786237,0.3391548688363318,-0.03183097174736521,-0.7536381648896571
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-10-09,1136,-0.9786225584036616,0.23664665098436227,-0.03183097174736521,-0.7738068791666647
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-10-16,1141,-0.7648749431650406,0.9875986999689769,-0.03183097174736521,0.19089278505657098
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-10-23,1146,-0.9103022537434698,0.6508963648405238,-0.03183097174736521,-0.2912368606503113
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-10-30,1151,-0.8917638478847001,0.3172533322726032,-0.03183097174736521,-0.6063414873594621
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-11-06,1156,-0.7368829672479884,0.7334108466826776,-0.03183097174736521,-0.03530309231267609
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-11-13,1161,0.3913075495585518,0.2805684583763013,-0.03183097174736521,0.6400450361874879
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-11-20,1166,0.8838569227629908,0.13141126168116418,-0.03183097174736521,0.9834372126967896
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-11-27,1171,0.6847836973846386,0.4939327899805877,-0.03183097174736521,1.1468855156178612
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-12-04,1176,0.6991120162613401,-0.10311860737411344,-0.03183097174736521,0.5641624371398616
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-12-11,1181,1.04764687969034,-0.060048100141834704,-0.03183097174736521,0.9557678078011401
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-12-18,1186,0.5139047098055273,0.18047630081662375,-0.03183097174736521,0.6625500388747857
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,2015-12-25,1191,0.3523917004634215,-0.3899276362729591,-0.03183097174736521,-0.06936690755690289
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-01-09,1087,0.9343671963866582,0.25722713020634885,-0.02983241189642209,1.161761914696585
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-01-16,1092,0.9507944103866631,0.1534864228834744,-0.02983241189642209,1.0744484213737153
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-01-23,1097,0.9846326780912107,0.5224031209158027,-0.02983241189642209,1.4772033871105914
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-01-30,1102,0.4622697823437227,0.34597797529615193,-0.02983241189642209,0.7784153457434525
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-02-06,1107,0.2976081516653031,0.3479710939047533,-0.02983241189642209,0.6157468336736343
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-02-13,1112,0.16372971732717526,0.37524328797089046,-0.02983241189642209,0.5091405934016436
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-02-27,1117,0.0010500127371316568,-0.08376260464845195,-0.02983241189642209,-0.11254500380774238
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-03-06,1122,-0.18143222653458604,0.013499717858096338,-0.02983241189642209,-0.1977649205729118
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-03-13,1127,-0.31535644958315767,-0.028825109657975342,-0.02983241189642209,-0.37401397113755513
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-09-25,1131,-0.42051619548833613,0.5028383084758614,-0.02983241189642209,0.05248970109110307
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-10-09,1136,-0.2218208185147917,0.4442071534795586,-0.02983241189642209,0.19255392306834473
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-10-16,1141,-0.37906260537476005,0.971835539013032,-0.02983241189642209,0.5629405217418497
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-10-23,1146,-0.18032577415510057,0.6177419842839542,-0.02983241189642209,0.4075837982324315
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-10-30,1151,-0.5715692978058343,0.3527049332379917,-0.02983241189642209,-0.24869677646426466
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-11-06,1156,0.1482465163633372,0.7983625900746283,-0.02983241189642209,0.9167766945415434
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-11-13,1161,0.04907297963001078,0.40604954495058776,-0.02983241189642209,0.4252901126841765
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,2015-11-20,1166,0.059057884396711696,0.24443382541403694,-0.02983241189642209,0.2736592979143266
