policy,cutoff,state,current_n,reused_n,new_n
quarter_four_state,2022-12-31,0,0,0,0
quarter_four_state,2022-12-31,1,0,0,0
quarter_four_state,2022-12-31,2,0,0,0
quarter_four_state,2022-12-31,3,0,0,0
quarter_four_state,2023-03-31,0,4,0,4
quarter_four_state,2023-03-31,1,0,0,0
quarter_four_state,2023-03-31,2,53,0,53
quarter_four_state,2023-03-31,3,1,0,1
quarter_four_state,2023-06-30,0,11,0,11
quarter_four_state,2023-06-30,1,13,0,13
quarter_four_state,2023-06-30,2,21,3,18
quarter_four_state,2023-06-30,3,18,1,17
quarter_four_state,2023-09-30,0,52,0,52
quarter_four_state,2023-09-30,1,1,0,1
quarter_four_state,2023-09-30,2,10,0,10
quarter_four_state,2023-09-30,3,0,0,0
quarter_four_state,2023-12-31,0,43,3,40
quarter_four_state,2023-12-31,1,0,0,0
quarter_four_state,2023-12-31,2,20,0,20
quarter_four_state,2023-12-31,3,0,0,0
quarter_four_state,2024-03-31,0,35,5,30
quarter_four_state,2024-03-31,1,28,0,28
quarter_four_state,2024-03-31,2,0,0,0
quarter_four_state,2024-03-31,3,0,0,0
quarter_four_state,2024-06-30,0,0,0,0
quarter_four_state,2024-06-30,1,19,4,15
quarter_four_state,2024-06-30,2,28,0,28
quarter_four_state,2024-06-30,3,16,0,16
quarter_four_state,2024-09-30,0,36,0,36
quarter_four_state,2024-09-30,1,1,0,1
quarter_four_state,2024-09-30,2,26,0,26
quarter_four_state,2024-09-30,3,0,0,0
quarter_four_state,2024-12-31,0,1,1,0
quarter_four_state,2024-12-31,1,13,1,12
quarter_four_state,2024-12-31,2,30,0,30
quarter_four_state,2024-12-31,3,19,0,19
quarter_four_state,2025-03-31,0,0,0,0
quarter_four_state,2025-03-31,1,0,0,0
quarter_four_state,2025-03-31,2,8,0,8
quarter_four_state,2025-03-31,3,55,6,49
quarter_four_state,2025-06-30,0,25,0,25
quarter_four_state,2025-06-30,1,21,0,21
quarter_four_state,2025-06-30,2,12,3,9
quarter_four_state,2025-06-30,3,5,0,5
quarter_four_state,2025-09-30,0,13,0,13
quarter_four_state,2025-09-30,1,0,0,0
quarter_four_state,2025-09-30,2,23,0,23
quarter_four_state,2025-09-30,3,27,0,27
quarter_four_state,2025-12-31,0,0,0,0
quarter_four_state,2025-12-31,1,0,0,0
quarter_four_state,2025-12-31,2,8,0,8
quarter_four_state,2025-12-31,3,55,3,52
quarter_four_state,2026-03-31,0,0,0,0
quarter_four_state,2026-03-31,1,0,0,0
quarter_four_state,2026-03-31,2,8,7,1
quarter_four_state,2026-03-31,3,55,0,55
quarter_four_state,2026-06-30,0,0,0,0
quarter_four_state,2026-06-30,1,2,0,2
quarter_four_state,2026-06-30,2,0,0,0
quarter_four_state,2026-06-30,3,61,3,58
month_four_state,2022-12-31,0,0,0,0
month_four_state,2022-12-31,1,0,0,0
month_four_state,2022-12-31,2,0,0,0
month_four_state,2022-12-31,3,0,0,0
month_four_state,2023-01-31,0,0,0,0
month_four_state,2023-01-31,1,0,0,0
month_four_state,2023-01-31,2,15,0,15
month_four_state,2023-01-31,3,0,0,0
month_four_state,2023-02-28,0,0,0,0
month_four_state,2023-02-28,1,0,0,0
month_four_state,2023-02-28,2,35,15,20
month_four_state,2023-02-28,3,0,0,0
month_four_state,2023-03-31,0,4,0,4
month_four_state,2023-03-31,1,0,0,0
month_four_state,2023-03-31,2,53,35,18
month_four_state,2023-03-31,3,1,0,1
month_four_state,2023-04-30,0,4,4,0
month_four_state,2023-04-30,1,4,0,4
month_four_state,2023-04-30,2,39,39,0
month_four_state,2023-04-30,3,16,1,15
month_four_state,2023-05-31,0,9,4,5
month_four_state,2023-05-31,1,13,4,9
month_four_state,2023-05-31,2,23,19,4
month_four_state,2023-05-31,3,18,16,2
month_four_state,2023-06-30,0,11,5,6
month_four_state,2023-06-30,1,13,13,0
month_four_state,2023-06-30,2,21,7,14
month_four_state,2023-06-30,3,18,18,0
month_four_state,2023-07-31,0,29,11,18
month_four_state,2023-07-31,1,12,11,1
month_four_state,2023-07-31,2,20,18,2
month_four_state,2023-07-31,3,2,2,0
month_four_state,2023-08-31,0,39,24,15
month_four_state,2023-08-31,1,1,1,0
month_four_state,2023-08-31,2,23,15,8
month_four_state,2023-08-31,3,0,0,0
month_four_state,2023-09-30,0,52,32,20
month_four_state,2023-09-30,1,1,1,0
month_four_state,2023-09-30,2,10,10,0
month_four_state,2023-09-30,3,0,0,0
month_four_state,2023-10-31,0,53,36,17
month_four_state,2023-10-31,1,0,0,0
month_four_state,2023-10-31,2,10,10,0
month_four_state,2023-10-31,3,0,0,0
month_four_state,2023-11-30,0,45,41,4
month_four_state,2023-11-30,1,0,0,0
month_four_state,2023-11-30,2,18,0,18
month_four_state,2023-11-30,3,0,0,0
month_four_state,2023-12-31,0,43,24,19
month_four_state,2023-12-31,1,0,0,0
month_four_state,2023-12-31,2,20,18,2
month_four_state,2023-12-31,3,0,0,0
month_four_state,2024-01-31,0,43,21,22
month_four_state,2024-01-31,1,0,0,0
month_four_state,2024-01-31,2,20,20,0
month_four_state,2024-01-31,3,0,0,0
month_four_state,2024-02-29,0,45,41,4
month_four_state,2024-02-29,1,11,0,11
month_four_state,2024-02-29,2,7,7,0
month_four_state,2024-02-29,3,0,0,0
month_four_state,2024-03-31,0,35,31,4
month_four_state,2024-03-31,1,28,11,17
month_four_state,2024-03-31,2,0,0,0
month_four_state,2024-03-31,3,0,0,0
month_four_state,2024-04-30,0,15,15,0
month_four_state,2024-04-30,1,43,28,15
month_four_state,2024-04-30,2,0,0,0
month_four_state,2024-04-30,3,5,0,5
month_four_state,2024-05-31,0,4,4,0
month_four_state,2024-05-31,1,34,34,0
month_four_state,2024-05-31,2,9,0,9
month_four_state,2024-05-31,3,16,5,11
month_four_state,2024-06-30,0,0,0,0
month_four_state,2024-06-30,1,19,19,0
month_four_state,2024-06-30,2,28,9,19
month_four_state,2024-06-30,3,16,16,0
month_four_state,2024-07-31,0,0,0,0
month_four_state,2024-07-31,1,0,0,0
month_four_state,2024-07-31,2,51,28,23
month_four_state,2024-07-31,3,12,12,0
month_four_state,2024-08-31,0,18,0,18
month_four_state,2024-08-31,1,0,0,0
month_four_state,2024-08-31,2,45,41,4
month_four_state,2024-08-31,3,0,0,0
month_four_state,2024-09-30,0,36,18,18
month_four_state,2024-09-30,1,1,0,1
month_four_state,2024-09-30,2,26,26,0
month_four_state,2024-09-30,3,0,0,0
month_four_state,2024-10-31,0,36,36,0
month_four_state,2024-10-31,1,13,1,12
month_four_state,2024-10-31,2,8,8,0
month_four_state,2024-10-31,3,6,0,6
month_four_state,2024-11-30,0,23,23,0
month_four_state,2024-11-30,1,13,13,0
month_four_state,2024-11-30,2,17,0,17
month_four_state,2024-11-30,3,10,6,4
month_four_state,2024-12-31,0,1,1,0
month_four_state,2024-12-31,1,13,13,0
month_four_state,2024-12-31,2,30,17,13
month_four_state,2024-12-31,3,19,10,9
month_four_state,2025-01-31,0,0,0,0
month_four_state,2025-01-31,1,0,0,0
month_four_state,2025-01-31,2,30,30,0
month_four_state,2025-01-31,3,33,15,18
month_four_state,2025-02-28,0,0,0,0
month_four_state,2025-02-28,1,0,0,0
month_four_state,2025-02-28,2,18,18,0
month_four_state,2025-02-28,3,45,27,18
month_four_state,2025-03-31,0,0,0,0
month_four_state,2025-03-31,1,0,0,0
month_four_state,2025-03-31,2,8,0,8
month_four_state,2025-03-31,3,55,42,13
month_four_state,2025-04-30,0,1,0,1
month_four_state,2025-04-30,1,12,0,12
month_four_state,2025-04-30,2,12,8,4
month_four_state,2025-04-30,3,38,34,4
month_four_state,2025-05-31,0,9,1,8
month_four_state,2025-05-31,1,21,12,9
month_four_state,2025-05-31,2,13,12,1
month_four_state,2025-05-31,3,20,19,1
month_four_state,2025-06-30,0,25,9,16
month_four_state,2025-06-30,1,21,21,0
month_four_state,2025-06-30,2,12,8,4
month_four_state,2025-06-30,3,5,5,0
month_four_state,2025-07-31,0,27,24,3
month_four_state,2025-07-31,1,10,10,0
month_four_state,2025-07-31,2,25,5,20
month_four_state,2025-07-31,3,1,1,0
month_four_state,2025-08-31,0,28,18,10
month_four_state,2025-08-31,1,0,0,0
month_four_state,2025-08-31,2,30,24,6
month_four_state,2025-08-31,3,5,0,5
month_four_state,2025-09-30,0,13,13,0
month_four_state,2025-09-30,1,0,0,0
month_four_state,2025-09-30,2,23,23,0
month_four_state,2025-09-30,3,27,5,22
month_four_state,2025-10-31,0,13,13,0
month_four_state,2025-10-31,1,0,0,0
month_four_state,2025-10-31,2,6,6,0
month_four_state,2025-10-31,3,44,27,17
month_four_state,2025-11-30,0,0,0,0
month_four_state,2025-11-30,1,0,0,0
month_four_state,2025-11-30,2,0,0,0
month_four_state,2025-11-30,3,63,43,20
month_four_state,2025-12-31,0,0,0,0
month_four_state,2025-12-31,1,0,0,0
month_four_state,2025-12-31,2,8,0,8
month_four_state,2025-12-31,3,55,40,15
month_four_state,2026-01-31,0,0,0,0
month_four_state,2026-01-31,1,0,0,0
month_four_state,2026-01-31,2,9,8,1
month_four_state,2026-01-31,3,54,35,19
month_four_state,2026-02-28,0,0,0,0
month_four_state,2026-02-28,1,0,0,0
month_four_state,2026-02-28,2,9,9,0
month_four_state,2026-02-28,3,54,40,14
month_four_state,2026-03-31,0,0,0,0
month_four_state,2026-03-31,1,0,0,0
month_four_state,2026-03-31,2,8,8,0
month_four_state,2026-03-31,3,55,33,22
month_four_state,2026-04-30,0,0,0,0
month_four_state,2026-04-30,1,2,0,2
month_four_state,2026-04-30,2,0,0,0
month_four_state,2026-04-30,3,61,42,19
month_four_state,2026-05-31,0,0,0,0
month_four_state,2026-05-31,1,2,2,0
month_four_state,2026-05-31,2,0,0,0
month_four_state,2026-05-31,3,61,43,18
month_four_state,2026-06-30,0,0,0,0
month_four_state,2026-06-30,1,2,2,0
month_four_state,2026-06-30,2,0,0,0
month_four_state,2026-06-30,3,61,40,21
month_four_state,2026-07-31,0,0,0,0
month_four_state,2026-07-31,1,0,0,0
month_four_state,2026-07-31,2,0,0,0
month_four_state,2026-07-31,3,63,40,23
month_four_state,2026-08-31,0,0,0,0
month_four_state,2026-08-31,1,13,0,13
month_four_state,2026-08-31,2,0,0,0
month_four_state,2026-08-31,3,50,42,8
quarter_pooled,2022-12-31,-1,0,0,0
quarter_pooled,2023-03-31,-1,58,0,58
quarter_pooled,2023-06-30,-1,63,4,59
quarter_pooled,2023-09-30,-1,63,0,63
quarter_pooled,2023-12-31,-1,63,3,60
quarter_pooled,2024-03-31,-1,63,5,58
quarter_pooled,2024-06-30,-1,63,4,59
quarter_pooled,2024-09-30,-1,63,0,63
quarter_pooled,2024-12-31,-1,63,2,61
quarter_pooled,2025-03-31,-1,63,6,57
quarter_pooled,2025-06-30,-1,63,3,60
quarter_pooled,2025-09-30,-1,63,0,63
quarter_pooled,2025-12-31,-1,63,3,60
quarter_pooled,2026-03-31,-1,63,7,56
quarter_pooled,2026-06-30,-1,63,3,60
quarter_ungated,2022-12-31,0,0,0,0
quarter_ungated,2022-12-31,1,0,0,0
quarter_ungated,2022-12-31,2,0,0,0
quarter_ungated,2022-12-31,3,0,0,0
quarter_ungated,2023-03-31,0,4,0,4
quarter_ungated,2023-03-31,1,0,0,0
quarter_ungated,2023-03-31,2,53,0,53
quarter_ungated,2023-03-31,3,1,0,1
quarter_ungated,2023-06-30,0,11,0,11
quarter_ungated,2023-06-30,1,13,0,13
quarter_ungated,2023-06-30,2,21,3,18
quarter_ungated,2023-06-30,3,18,1,17
quarter_ungated,2023-09-30,0,52,0,52
quarter_ungated,2023-09-30,1,1,0,1
quarter_ungated,2023-09-30,2,10,0,10
quarter_ungated,2023-09-30,3,0,0,0
quarter_ungated,2023-12-31,0,43,3,40
quarter_ungated,2023-12-31,1,0,0,0
quarter_ungated,2023-12-31,2,20,0,20
quarter_ungated,2023-12-31,3,0,0,0
quarter_ungated,2024-03-31,0,35,5,30
quarter_ungated,2024-03-31,1,28,0,28
quarter_ungated,2024-03-31,2,0,0,0
quarter_ungated,2024-03-31,3,0,0,0
quarter_ungated,2024-06-30,0,0,0,0
quarter_ungated,2024-06-30,1,19,4,15
quarter_ungated,2024-06-30,2,28,0,28
quarter_ungated,2024-06-30,3,16,0,16
quarter_ungated,2024-09-30,0,36,0,36
quarter_ungated,2024-09-30,1,1,0,1
quarter_ungated,2024-09-30,2,26,0,26
quarter_ungated,2024-09-30,3,0,0,0
quarter_ungated,2024-12-31,0,1,1,0
quarter_ungated,2024-12-31,1,13,1,12
quarter_ungated,2024-12-31,2,30,0,30
quarter_ungated,2024-12-31,3,19,0,19
quarter_ungated,2025-03-31,0,0,0,0
quarter_ungated,2025-03-31,1,0,0,0
quarter_ungated,2025-03-31,2,8,0,8
quarter_ungated,2025-03-31,3,55,6,49
quarter_ungated,2025-06-30,0,25,0,25
quarter_ungated,2025-06-30,1,21,0,21
quarter_ungated,2025-06-30,2,12,3,9
quarter_ungated,2025-06-30,3,5,0,5
quarter_ungated,2025-09-30,0,13,0,13
quarter_ungated,2025-09-30,1,0,0,0
quarter_ungated,2025-09-30,2,23,0,23
quarter_ungated,2025-09-30,3,27,0,27
quarter_ungated,2025-12-31,0,0,0,0
quarter_ungated,2025-12-31,1,0,0,0
quarter_ungated,2025-12-31,2,8,0,8
quarter_ungated,2025-12-31,3,55,3,52
quarter_ungated,2026-03-31,0,0,0,0
quarter_ungated,2026-03-31,1,0,0,0
quarter_ungated,2026-03-31,2,8,7,1
quarter_ungated,2026-03-31,3,55,0,55
quarter_ungated,2026-06-30,0,0,0,0
quarter_ungated,2026-06-30,1,2,0,2
quarter_ungated,2026-06-30,2,0,0,0
quarter_ungated,2026-06-30,3,61,3,58
quarter_platt,2022-12-31,-1,0,0,0
quarter_platt,2023-03-31,-1,58,0,58
quarter_platt,2023-06-30,-1,63,4,59
quarter_platt,2023-09-30,-1,63,0,63
quarter_platt,2023-12-31,-1,63,3,60
quarter_platt,2024-03-31,-1,63,5,58
quarter_platt,2024-06-30,-1,63,4,59
quarter_platt,2024-09-30,-1,63,0,63
quarter_platt,2024-12-31,-1,63,2,61
quarter_platt,2025-03-31,-1,63,6,57
quarter_platt,2025-06-30,-1,63,3,60
quarter_platt,2025-09-30,-1,63,0,63
quarter_platt,2025-12-31,-1,63,3,60
quarter_platt,2026-03-31,-1,63,7,56
quarter_platt,2026-06-30,-1,63,3,60
