history,method,seed,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
annual_quarter_half,learned_market,20260910,2021,50,0.54,0.46,27,0.5483091787439613,0.6,0.46,15,12,15,8,0.5829307568438004,0.25372315397422435,0.7019829240440199,0.5543675324301872,0.1135180314224079,0.0943675324301872,0.0
annual_quarter_half,learned_market,20260910,2022,49,0.3469387755102041,0.6530612244897959,17,0.40172413793103445,0.8163265306122449,0.40816326530612246,14,3,26,6,0.3758620689655172,0.30319688541177175,0.8043816790903794,0.5987141667515673,0.08139642190649025,0.19055090144544484,0.0
annual_quarter_half,learned_market,20260910,2023,48,0.5208333333333334,0.4791666666666667,25,0.5127041742286751,0.4583333333333333,0.3958333333333333,9,16,13,10,0.4573502722323049,0.2650245163045542,0.7267726337711128,0.479573175658407,0.10370636307509289,0.0837398423250737,0.0
annual_quarter_half,learned_market,20260910,2024,47,0.5957446808510638,0.40425531914893614,28,0.5818181818181818,0.2765957446808511,0.46808510638297873,8,20,5,14,0.6381818181818182,0.23044287994649174,0.6537762132752762,0.4592238898859805,0.11079308749615842,-0.008861216496998225,0.0
annual_quarter_half,learned_market,20260910,2025,48,0.4583333333333333,0.5416666666666666,22,0.48888888888888893,0.375,0.625,11,11,7,19,0.4981481481481482,0.26022103001040625,0.7140571486663779,0.47642931335833666,0.08905879287867233,-0.14857068664166334,0.0
annual_quarter_half,learned_market,20260910,2026,30,0.4,0.6,12,0.4017857142857143,0.5333333333333333,0.4666666666666667,6,6,10,8,0.36160714285714285,0.27756453467687536,0.7486112450631768,0.4962962611733268,0.10460124675296172,0.02962959450666014,0.0
annual_quarter_half,learned_market,20260911,2021,50,0.62,0.38,31,0.6288244766505635,0.6,0.46,17,14,13,6,0.5877616747181964,0.26351299652774296,0.7291598549366541,0.5432867277696272,0.14361677151122634,0.08328672776962714,0.0
annual_quarter_half,learned_market,20260911,2022,49,0.4489795918367347,0.5510204081632653,22,0.4879310344827586,0.7142857142857143,0.40816326530612246,14,8,21,6,0.49310344827586206,0.2773339271310199,0.7488221272155764,0.561360406800366,0.10918153243917698,0.15319714149424357,0.0
annual_quarter_half,learned_market,20260911,2023,48,0.5,0.5,24,0.4773139745916515,0.3958333333333333,0.3958333333333333,7,17,12,12,0.47549909255898365,0.26928892237757157,0.7350877815299857,0.502137797961292,0.0996669495792724,0.10630446462795867,0.0
annual_quarter_half,learned_market,20260911,2024,47,0.6808510638297872,0.3191489361702128,32,0.6809090909090909,0.48936170212765956,0.46808510638297873,15,17,8,7,0.7236363636363636,0.221384170754462,0.6351794184103372,0.4852103550257712,0.10604832778166759,0.017125248642792468,0.0
annual_quarter_half,learned_market,20260911,2025,48,0.5,0.5,24,0.5222222222222223,0.4166666666666667,0.625,13,11,7,17,0.5111111111111111,0.26045468405100153,0.7149328413220254,0.47735337127197397,0.07672888136887053,-0.14764662872802603,0.0
