period,method,case,group,n,mean_probability_contribution,mean_signed_contribution,mean_signed_coefficient,mean_signed_transform
extension_2021_2023,learned_order_offset,stable_wrong,decoded,70,-0.0016917619321321802,0.008389478750117686,0.008494858020882195,-0.00010537927076450906
extension_2021_2023,learned_order_offset,stable_wrong,market,70,0.0008839945706742659,-0.0011532352229122141,-0.0008707846585805343,-0.00028245056433168
extension_2021_2023,learned_order_offset,stable_wrong,vol,70,0.0009848713490623589,0.0002798376530697673,0.0008381471767691014,-0.0005583095236993343
extension_2021_2023,learned_order_offset,stable_wrong,order,70,-0.003948316215932839,0.006224809916879184,0.006711595645783158,-0.00048678572890397336
extension_2021_2023,learned_vol_interaction,all,intercept,147,-0.005670077955899343,7.292554885948717e-05,7.292554885948717e-05,0.0
extension_2021_2023,learned_vol_interaction,all,decoded,147,0.0016686141892830045,0.001510415255000611,0.001326677926256385,0.0001837373287442278
extension_2021_2023,learned_vol_interaction,all,market,147,0.0006034371754805982,-0.003197337668896494,-0.0030436634964406614,-0.0001536741724558328
extension_2021_2023,learned_vol_interaction,all,vol,147,0.0019812742159978133,0.0007621403288176772,0.0006827488210482689,7.939150776940827e-05
extension_2021_2023,learned_vol_interaction,all,order,147,0.0,0.0,0.0,0.0
extension_2021_2023,learned_vol_interaction,regression,intercept,11,-0.013680180071008767,-0.0031560071336322344,-0.0031560071336322344,0.0
extension_2021_2023,learned_vol_interaction,regression,decoded,11,0.03735996834081328,-0.025712598816805602,-0.025994978478528167,0.00028237966172256555
extension_2021_2023,learned_vol_interaction,regression,market,11,-0.003111603508807273,-0.020939655466207192,-0.019943739602971768,-0.0009959158632354265
extension_2021_2023,learned_vol_interaction,regression,vol,11,0.002611504761594763,-0.0031512447317822074,-0.0028951608916154975,-0.00025608384016670915
extension_2021_2023,learned_vol_interaction,regression,order,11,0.0,0.0,0.0,0.0
extension_2021_2023,learned_vol_interaction,recovery,intercept,7,-0.0044124678326483285,0.012750659413446316,0.012750659413446316,0.0
extension_2021_2023,learned_vol_interaction,recovery,decoded,7,0.006773607463965496,0.01904199923595229,0.02136126810420267,-0.002319268868250373
extension_2021_2023,learned_vol_interaction,recovery,market,7,0.01484587036857952,0.028453489203242012,0.025377465000767565,0.0030760242024744466
extension_2021_2023,learned_vol_interaction,recovery,vol,7,-0.000746156539961139,0.004907222338463169,0.00345167116675684,0.0014555511717063293
extension_2021_2023,learned_vol_interaction,recovery,order,7,0.0,0.0,0.0,0.0
extension_2021_2023,learned_vol_interaction,stable_correct,intercept,60,-0.0039804570265749555,-0.002360831907275862,-0.002360831907275862,0.0
extension_2021_2023,learned_vol_interaction,stable_correct,decoded,60,0.0031876126340710364,-0.007865004103173683,-0.008611818470961739,0.0007468143677880598
extension_2021_2023,learned_vol_interaction,stable_correct,market,60,-0.0004376086248272626,-0.0068612333256981685,-0.006738566871133643,-0.00012266645456452551
extension_2021_2023,learned_vol_interaction,stable_correct,vol,60,0.0030694303189306494,0.0016790224969150064,0.0006813605514604694,0.0009976619454545369
extension_2021_2023,learned_vol_interaction,stable_correct,order,60,0.0,0.0,0.0,0.0
extension_2021_2023,learned_vol_interaction,stable_wrong,intercept,69,-0.005989924381348863,0.001417846850648214,0.001417846850648214,0.0
extension_2021_2023,learned_vol_interaction,stable_wrong,decoded,69,-0.0058600779161792045,0.012224288130560963,0.012291980434083827,-6.769230352286556e-05
extension_2021_2023,learned_vol_interaction,stable_wrong,market,69,0.000656062729016043,-0.00039380945043926803,-1.979189973104707e-05,-0.0003740175507082221
extension_2021_2023,learned_vol_interaction,stable_wrong,vol,69,0.0012112758553336968,0.00016820890147333726,0.0009734422499556517,-0.0008052333484823144
extension_2021_2023,learned_vol_interaction,stable_wrong,order,69,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,all,intercept,125,-0.004208023407245283,0.00034324193289067106,0.00034324193289067106,0.0
recent_2024_2026,learned_market,all,decoded,125,-0.004033722087669205,-0.0026054367063462723,-0.0019584998185922364,-0.0006469368877540343
recent_2024_2026,learned_market,all,market,125,0.005162217789503481,-0.0002151794250760233,-0.0008496775290423754,0.0006344981039663525
recent_2024_2026,learned_market,all,vol,125,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,all,order,125,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,regression,intercept,10,-0.006723129864745822,-0.0014714668112798287,-0.0014714668112798287,0.0
recent_2024_2026,learned_market,regression,decoded,10,0.004960536135202869,-0.009146360170267414,-0.009861037020074122,0.0007146768498067103
recent_2024_2026,learned_market,regression,market,10,0.02116469336827848,-0.0314915571490149,-0.029323025265430812,-0.002168531883584095
recent_2024_2026,learned_market,regression,vol,10,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,regression,order,10,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,recovery,intercept,4,-0.002150313958180606,0.00814777531173062,0.00814777531173062,0.0
recent_2024_2026,learned_market,recovery,decoded,4,-0.012750524865255325,0.008192359341111045,0.006005063492500332,0.002187295848610711
recent_2024_2026,learned_market,recovery,market,4,-0.015643532185446098,0.035967655480007577,0.0391258279036837,-0.0031581724236761284
recent_2024_2026,learned_market,recovery,vol,4,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,recovery,order,4,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,stable_correct,intercept,59,-0.006175914403683733,0.00045471065045844924,0.00045471065045844924,0.0
recent_2024_2026,learned_market,stable_correct,decoded,59,-0.0036851727497333063,-0.0005055642505973981,-0.0009063997013433042,0.0004008354507459087
recent_2024_2026,learned_market,stable_correct,market,59,0.004081082205369366,0.0033248287415874383,0.002834152979847922,0.0004906757617395164
recent_2024_2026,learned_market,stable_correct,vol,59,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,stable_correct,order,59,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,stable_wrong,intercept,52,-0.0016498350309257595,-3.459845961228563e-05,-3.459845961228563e-05,0.0
recent_2024_2026,learned_market,stable_wrong,decoded,52,-0.005488333281065251,-0.004560714099419376,-0.0022450918983468213,-0.0023156222010725543
recent_2024_2026,learned_market,stable_wrong,market,52,0.004911934012118118,-0.0010003341215008273,-0.0026288033827259814,0.001628469261225155
recent_2024_2026,learned_market,stable_wrong,vol,52,0.0,0.0,0.0,0.0
recent_2024_2026,learned_market,stable_wrong,order,52,0.0,0.0,0.0,0.0
recent_2024_2026,learned_order_extension,all,intercept,125,-0.004268346643695366,0.00034136472355674537,0.00034136472355674537,0.0
recent_2024_2026,learned_order_extension,all,decoded,125,-0.0038854567239667774,-0.0026524605399657593,-0.002016313592017423,-0.0006361469479483372
recent_2024_2026,learned_order_extension,all,market,125,0.005073035771691859,-0.00021918448149007162,-0.0008500688985356404,0.0006308844170455694
recent_2024_2026,learned_order_extension,all,vol,125,-0.0011167680491086164,-0.0004994335836829016,-0.0005305616508508437,3.112806716794258e-05
recent_2024_2026,learned_order_extension,all,order,125,0.0012620128256040353,0.0009577461729767661,0.0002568946643928179,0.0007008515085839482
recent_2024_2026,learned_order_extension,regression,intercept,12,-0.003717746255200594,-0.003122506418099614,-0.003122506418099614,0.0
recent_2024_2026,learned_order_extension,regression,decoded,12,0.005660939625010554,-0.01050208002327961,-0.010781949331071456,0.00027986930779184954
recent_2024_2026,learned_order_extension,regression,market,12,0.016449011724736996,-0.024557347326425286,-0.022800590221189385,-0.0017567571052359025
recent_2024_2026,learned_order_extension,regression,vol,12,0.0011274961185839798,-0.001454135536495027,-0.005162932651800207,0.00370879711530518
recent_2024_2026,learned_order_extension,regression,order,12,0.007641704589213958,-0.011129437864192557,-0.012077714472121097,0.0009482766079285421
recent_2024_2026,learned_order_extension,recovery,intercept,5,-0.005489789114757798,0.010281697130749376,0.010281697130749376,0.0
recent_2024_2026,learned_order_extension,recovery,decoded,5,-0.01396043118073687,0.010397532244825487,0.008438453450910911,0.001959078793914577
recent_2024_2026,learned_order_extension,recovery,market,5,-0.010476619179058892,0.026880816754771303,0.03093511311601932,-0.004054296361248012
recent_2024_2026,learned_order_extension,recovery,vol,5,-0.004469244094995162,0.00543284288660686,0.0026931031502812125,0.0027397397363256477
recent_2024_2026,learned_order_extension,recovery,order,5,0.0014845908059507868,0.005075710148517629,0.005604059699215922,-0.0005283495506982929
recent_2024_2026,learned_order_extension,stable_correct,intercept,60,-0.00635346570500624,0.0006597037544716828,0.0006597037544716828,0.0
recent_2024_2026,learned_order_extension,stable_correct,decoded,60,-0.00396011310855355,-0.000985714099497785,-0.0013569745698720317,0.0003712604703742468
recent_2024_2026,learned_order_extension,stable_correct,market,60,0.004801460797549191,0.0029770234835997736,0.0025749431036471643,0.00040208037995260863
recent_2024_2026,learned_order_extension,stable_correct,vol,60,-0.001962613615322051,-0.001732295378753434,-0.0012774295470747074,-0.00045486583167872685
recent_2024_2026,learned_order_extension,stable_correct,order,60,-0.0007972279674203694,0.002202570572097869,0.0013784189286863294,0.00082415164341154
recent_2024_2026,learned_order_extension,stable_wrong,intercept,48,-0.0016723643234447978,-0.0002260425720887349,-0.0002260425720887349,0.0
recent_2024_2026,learned_order_extension,stable_wrong,decoded,48,-0.005129258824564091,-0.00413286296813802,-0.001738116668574021,-0.0023947462995640005
recent_2024_2026,learned_order_extension,stable_wrong,market,48,0.004188266225145443,-0.0009528205220624676,-0.0029546600304501867,0.0020018395083877196
recent_2024_2026,learned_order_extension,stable_wrong,vol,48,-0.00027131087848512327,0.0006623736827031123,0.0012253175528817363,-0.0005629438701786245
recent_2024_2026,learned_order_extension,stable_wrong,order,48,0.00221795566969594,0.001994557102582211,0.0013816452603603341,0.0006129118422218764
recent_2024_2026,learned_order_offset,all,intercept,125,-0.004278170157165803,0.000317438473042056,0.000317438473042056,0.0
recent_2024_2026,learned_order_offset,all,decoded,125,-0.003978127771425367,-0.0025920146757540214,-0.001959045440338483,-0.000632969235415539
recent_2024_2026,learned_order_offset,all,market,125,0.005191695278650657,-0.00020093139364497694,-0.0008298608995772524,0.0006289295059322762
recent_2024_2026,learned_order_offset,all,vol,125,-0.001165231615124129,-0.0004978088132049361,-0.0005321745960543879,3.4365782849451504e-05
recent_2024_2026,learned_order_offset,all,order,125,0.0012660790323873014,0.0009543166638643553,0.000255525094689399,0.000698791569174956
recent_2024_2026,learned_order_offset,regression,intercept,12,-0.0009450770382091969,-0.005688472261824133,-0.005688472261824133,0.0
recent_2024_2026,learned_order_offset,regression,decoded,12,0.005313622041011336,-0.007716873932601151,-0.007636535898116677,-8.033803448447188e-05
recent_2024_2026,learned_order_offset,regression,market,12,0.012146059975051207,-0.022097665147606787,-0.02098517193352505,-0.0011124932140817306
recent_2024_2026,learned_order_offset,regression,vol,12,0.0016082725160245978,-0.002056301671162744,-0.00539323793965021,0.003336936268487467
recent_2024_2026,learned_order_offset,regression,order,12,0.005978204955249131,-0.010125397170547877,-0.011148022781523185,0.001022625610975304
recent_2024_2026,learned_order_offset,recovery,intercept,6,-0.009565616972947699,0.003598579213845881,0.003598579213845881,0.0
recent_2024_2026,learned_order_offset,recovery,decoded,6,-0.009923017081863625,0.01023502237380189,0.009142869299995604,0.0010921530738062922
recent_2024_2026,learned_order_offset,recovery,market,6,-0.0008868060562208409,0.029991288214095333,0.03201991789685699,-0.0020286296827616494
recent_2024_2026,learned_order_offset,recovery,vol,6,-0.006010340439104513,0.0022059400479968404,0.00196277965668972,0.0002431603913071208
recent_2024_2026,learned_order_offset,recovery,order,6,0.002673293619225535,0.005657302647769665,0.00532914855538066,0.00032815409238900464
recent_2024_2026,learned_order_offset,stable_correct,intercept,59,-0.006498830395669459,0.0016973053388304443,0.0016973053388304443,0.0
recent_2024_2026,learned_order_offset,stable_correct,decoded,59,-0.004222525092437726,-0.001527041610617577,-0.002025456217304819,0.0004984146066872386
recent_2024_2026,learned_order_offset,stable_correct,market,59,0.005112218032810426,0.001716399601988791,0.001578806138751261,0.00013759346323753037
recent_2024_2026,learned_order_offset,stable_correct,vol,59,-0.0019234873062445117,-0.0013850708342845696,-0.0012047203132107792,-0.00018035052107379034
recent_2024_2026,learned_order_offset,stable_correct,order,59,-0.0006070035301612823,0.0018891189653306407,0.0011494156638726595,0.0007397033014579811
recent_2024_2026,learned_order_offset,stable_wrong,intercept,48,-0.0017209510417714735,-0.0002873127917067693,-0.0002873127917067693,0.0
recent_2024_2026,learned_order_offset,stable_wrong,decoded,48,-0.005257549020318737,-0.004223208885300274,-0.0018457822550812404,-0.002377426630219032
recent_2024_2026,learned_order_offset,stable_wrong,market,48,0.004310607552754739,-0.0008574947549219048,-0.0028579087252567133,0.0020004139703348103
recent_2024_2026,learned_order_offset,stable_wrong,vol,48,-0.000320946424578293,0.0006444386945446758,0.0011978927355896188,-0.0005534540410449428
recent_2024_2026,learned_order_offset,stable_wrong,order,48,0.002214476378116365,0.0019873440455936073,0.001373468639868379,0.0006138754057252283
recent_2024_2026,learned_vol_interaction,all,intercept,125,-0.004188452296973117,0.00031955210235271226,0.00031955210235271226,0.0
recent_2024_2026,learned_vol_interaction,all,decoded,125,-0.003956695995545815,-0.002541883671888455,-0.001908096756296698,-0.0006337869155917573
recent_2024_2026,learned_vol_interaction,all,market,125,0.00525406641573972,-0.00023213944681436732,-0.0008637168113963644,0.0006315773645819976
recent_2024_2026,learned_vol_interaction,all,vol,125,-0.0011273797818884272,-0.0005005702067653909,-0.0005190666158942124,1.8496409128821222e-05
recent_2024_2026,learned_vol_interaction,all,order,125,0.0,0.0,0.0,0.0
recent_2024_2026,learned_vol_interaction,regression,intercept,7,-0.011290116734262027,-0.00033701282860255027,-0.00033701282860255027,0.0
recent_2024_2026,learned_vol_interaction,regression,decoded,7,0.008759651192091345,-0.014240312619996306,-0.014303466018928138,6.315339893183605e-05
recent_2024_2026,learned_vol_interaction,regression,market,7,0.014325469268482018,-0.027921760894694107,-0.026464455335119926,-0.0014573055595741794
recent_2024_2026,learned_vol_interaction,regression,vol,7,-0.001201722565872855,0.00042658598711486125,-0.003790500230513306,0.004217086217628168
recent_2024_2026,learned_vol_interaction,regression,order,7,0.0,0.0,0.0,0.0
recent_2024_2026,learned_vol_interaction,recovery,intercept,5,-0.007658625244009086,0.008103322586416474,0.008103322586416474,0.0
recent_2024_2026,learned_vol_interaction,recovery,decoded,5,-0.0093946961616637,0.014875036430572006,0.013744377817414314,0.0011306586131576983
recent_2024_2026,learned_vol_interaction,recovery,market,5,-0.020822329693892017,0.0161954085484022,0.02063857963331854,-0.004443171084916341
recent_2024_2026,learned_vol_interaction,recovery,vol,5,-0.005132118110069318,0.0046962844725124565,0.0018620709923996208,0.0028342134801128344
recent_2024_2026,learned_vol_interaction,recovery,order,5,0.0,0.0,0.0,0.0
recent_2024_2026,learned_vol_interaction,stable_correct,intercept,61,-0.006322295401598675,0.00043458500517135827,0.00043458500517135827,0.0
recent_2024_2026,learned_vol_interaction,stable_correct,decoded,61,-0.003780169222468752,-0.0005885646400997153,-0.0010674548357645218,0.0004788901956648041
recent_2024_2026,learned_vol_interaction,stable_correct,market,61,0.005145306416428481,0.0030703129528088786,0.0026808639563142655,0.00038944899649461266
recent_2024_2026,learned_vol_interaction,stable_correct,vol,61,-0.0017574974298155978,-0.0014655305532002068,-0.0010862822673640212,-0.000379248285836186
recent_2024_2026,learned_vol_interaction,stable_correct,order,61,0.0,0.0,0.0,0.0
recent_2024_2026,learned_vol_interaction,stable_wrong,intercept,52,-0.00039562642815847915,-0.00047544607025439163,-0.00047544607025439163,0.0
recent_2024_2026,learned_vol_interaction,stable_wrong,decoded,52,-0.005352706815556807,-0.0049331924952473105,-0.0027306726251928085,-0.002202519870054501
recent_2024_2026,learned_vol_interaction,stable_wrong,market,52,0.00666784565683488,-0.0019582930279286492,-0.003643057953470558,0.0016847649255419092
recent_2024_2026,learned_vol_interaction,stable_wrong,vol,52,6.87536527220418e-06,6.895454368700802e-06,0.0003577507302696878,-0.000350855275900987
recent_2024_2026,learned_vol_interaction,stable_wrong,order,52,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,all,intercept,272,-0.005046759463500949,0.00020035892933435704,0.00020035892933435704,0.0
pooled_2021_2026,learned_market,all,decoded,272,-0.0008424290253047927,-0.0003444272234396078,-0.00014642618947941025,-0.00019800103396019664
pooled_2021_2026,learned_market,all,market,272,0.0027205269696997376,-0.001854177850780525,-0.0020655063754295953,0.00021132852464907068
pooled_2021_2026,learned_market,all,vol,272,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,all,order,272,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,regression,intercept,19,-0.00816379356325343,-0.004106412542568361,-0.004106412542568361,0.0
pooled_2021_2026,learned_market,regression,decoded,19,0.012125117869516587,-0.012355582065371419,-0.01310958802298035,0.0007540059576089357
pooled_2021_2026,learned_market,regression,market,19,0.009234769469545854,-0.02826655504747871,-0.026432211057241882,-0.0018343439902368294
pooled_2021_2026,learned_market,regression,vol,19,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,regression,order,19,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,recovery,intercept,10,-0.004316908475076162,0.011761959775517547,0.011761959775517547,0.0
pooled_2021_2026,learned_market,recovery,decoded,10,-0.005887954859017121,0.011188040560281252,0.01163821016216188,-0.0004501696018806201
pooled_2021_2026,learned_market,recovery,market,10,-0.003693955014776438,0.02645422545892049,0.026031481745046686,0.0004227437138738096
pooled_2021_2026,learned_market,recovery,vol,10,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,recovery,order,10,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,stable_correct,intercept,118,-0.005154853179755745,-0.0011297956375295167,-0.0011297956375295167,0.0
pooled_2021_2026,learned_market,stable_correct,decoded,118,0.00071153710691941,-0.004448316738608591,-0.005080287618922339,0.0006319708803137509
pooled_2021_2026,learned_market,stable_correct,market,118,0.002015361954314039,-0.002220274473461876,-0.002357313668141895,0.00013703919468001878
pooled_2021_2026,learned_market,stable_correct,vol,118,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,stable_correct,order,118,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,stable_wrong,intercept,125,-0.004529317891268026,0.0011857260364884126,0.0011857260364884126,0.0
pooled_2021_2026,learned_market,stable_wrong,decoded,125,-0.003876798115440305,0.004432742592155878,0.005538768690475554,-0.0011060260983196775
pooled_2021_2026,learned_market,stable_wrong,market,125,0.00290919644300532,0.00024142643015271322,-0.00033406022911181953,0.0005754866592645331
pooled_2021_2026,learned_market,stable_wrong,vol,125,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_market,stable_wrong,order,125,0.0,0.0,0.0,0.0
pooled_2021_2026,learned_order_extension,all,intercept,272,-0.005013232686729813,0.00019324144403981263,0.00019324144403981263,0.0
pooled_2021_2026,learned_order_extension,all,decoded,272,-0.0007673375105314998,-0.0004166629456245838,-0.00022670859341592322,-0.0001899543522086599
