cutoff,end,seed,rule,epoch,train_n,presentations,optimizer_steps,training_order_sha256,batch_boundaries_sha256,minimum_batch,maximum_batch,online_joint_loss,raw_gradient_norm_mean,raw_gradient_norm_max,gradient_clipping_fraction,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
2017-12-31,2018-12-31,20260910,balanced,1,1678,1678,14,70819786afeff1a0822618e20c027ee1a395acb9c345dc7190b8aafb57aff93f,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.1149607258183616,0.6485061411346708,1.1690173149108887,0.21428571428571427,,,
2017-12-31,2018-12-31,20260910,balanced,2,1678,1678,14,eaf5f9808587a8b58fb1f34a8722fa719d35fa9fd135d837800e083848722456,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.1062434358256203,0.44349205493927,0.8766756057739258,0.0,,,
2017-12-31,2018-12-31,20260910,balanced,3,1678,1678,14,ed01a5b4a389a41f83aa336d816591aa97889d6b63933d7923ab3d0ffd651f0a,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.1042650938034058,0.4395700693130493,0.8514112830162048,0.0,,,
2017-12-31,2018-12-31,20260910,balanced,4,1678,1678,14,9598ee712dae6f2aa591aa9f9016d6db4882acac98b48dc66a5132168b44be2b,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.103080506835665,0.3700145035982132,0.8424826264381409,0.0,,,
2017-12-31,2018-12-31,20260910,balanced,5,1678,1678,14,b9c558c5cb5e236435ba5364075b8602b0ddc01f08152f77fc8e83ac8b0eb854,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.1023257161889757,0.3377021827868053,0.707366943359375,0.0,,,
2017-12-31,2018-12-31,20260910,balanced,6,1678,1678,14,9a6e06a8e7fa2c6288210818de46a40ac51e03f5998ebef5ebe657f0a16098d1,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.102069935628346,0.3680394877280508,0.715011715888977,0.0,,,
2017-12-31,2018-12-31,20260910,balanced,7,1678,1678,14,a5c6260a93c58976ffffdcefeb05b469deba6288fb23f5cbbb8d4e69fab75253,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.1021536077771867,0.4423844058598791,0.8852455019950867,0.0,,,
2017-12-31,2018-12-31,20260910,balanced,8,1678,1678,14,0499b7d5cee67bc22a8778c4b3ede19afe7d1b0b751329ff28746ba3638c9b97,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.1012093935694014,0.5048744689141001,1.7476959228515625,0.07142857142857142,,,
2017-12-31,2018-12-31,20260910,balanced,9,1678,1678,14,0ebf93cc4384855811859b5d7c4bc592dd97e527d319d3737dd07cef0eff3c38,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.0986352946077074,0.5005144913281713,1.1106473207473755,0.07142857142857142,,,
2017-12-31,2018-12-31,20260910,balanced,10,1678,1678,14,56d196e3f815784ebae334dd4d6173b0aa2d7029530fdbc7a92c4b649ff1431c,7687388086d62460b8bf873dca469101a018bef0ae7fd1954a3b76ffd8142115,119,120,1.0934173251901353,0.5377604163118771,1.1487843990325928,0.14285714285714285,,,
