job,method,cutoff,seed,coordinate,coefficient,block
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,0,-0.006928237457967885,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,1,-0.10713722325206262,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,2,-0.05989100730739522,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,3,0.0628178459240181,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,4,0.05202495714094465,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,5,-0.0050341156113890406,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,6,0.17234928774918834,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,7,0.09481541953254252,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,8,0.052576762130488196,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,9,0.0818646664234182,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,10,-0.060050803739327765,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,11,0.051528496936080234,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,12,0.003904762382492383,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,13,0.09505497267050204,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,14,-0.02549133488493983,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,15,-0.09757578929140844,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,16,-0.0021057991228281,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,17,0.439058515932789,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,18,0.06558373252515713,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,19,-0.02708939540392725,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,20,0.08564905711395236,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,21,0.27537131830433614,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,22,-0.5364409721898465,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,23,-0.044336178440467625,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,24,0.26974761629504024,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,25,-0.2843583731738699,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,26,0.2244292977861801,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,27,0.04046347722211112,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,28,0.23711498041619816,additive
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,29,0.006893672855046585,interaction
learned_hmm_interaction_2014-12-31_20260910,learned_hmm_interaction,2014-12-31,20260910,30,-0.03838176334509354,intercept
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,0,-0.2995979607519638,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,1,0.19544019868159024,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,2,0.30542511717010995,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,3,-0.26513909160000737,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,4,-0.1228574883624563,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,5,-0.015196053845248888,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,6,-0.09254598436974831,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,7,-0.03815822654232895,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,8,-0.17045445402324433,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,9,0.03514971113565668,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,10,0.01826423973752592,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,11,0.09631522489087245,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,12,-0.194871847236444,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,13,-0.028892132161694548,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,14,0.1007202249332017,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,15,0.007168560855447025,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,16,-0.0008765101639476276,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,17,0.16176636492251112,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,18,-0.055600945281991596,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,19,-0.028731787233306105,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,20,0.2557458915723575,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,21,-0.04977521361172845,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,22,-0.18355643846843883,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,23,-0.06047257696854211,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,24,-0.23082293954848648,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,25,-0.15532908264653078,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,26,0.24709107020481905,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,27,-0.030747847433906187,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,28,0.190729175490354,additive
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,29,-0.013291594899697928,interaction
learned_hmm_interaction_2014-12-31_20260911,learned_hmm_interaction,2014-12-31,20260911,30,-0.03209429511039057,intercept
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,0,0.011824094361283732,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,1,0.347802960963886,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,2,0.20304696628559665,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,3,0.10220931995389049,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,4,0.06294630107342068,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,5,0.05019295582436316,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,6,-0.27661690442821035,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,7,-0.015438591578308349,additive
learned_hmm_interaction_2014-12-31_20260912,learned_hmm_interaction,2014-12-31,20260912,8,-0.12951248236971577,additive
